السلام عليكم
مرحبا بكم
شكرا جزيلا
الله أكبر
بسم الله الرحمن الرحيم
الحمد لله
صباح الخير
مساء الخير
تصبح على خير
كيف حالك
ما اسمك
أهلا وسهلا
مع السلامة
إلى اللقاء
كتاب مفيد جدا
طالب مجتهد
معلم متميز
مدرسة حديثة
جامعة عريقة
مدينة جميلة
بلد كبير
شارع واسع
بيت جميل
عائلة سعيدة
صديق وفي
أب حنون
أم رحيمة
أخ كريم
أخت لطيفة
ابن ذكي
بنت جميلة
يوم سعيد
ليلة هادئة
صباح مشرق
مساء جميل
وقت ممتع
ساعة مهمة
دقيقة واحدة
ثانية فقط
طعام لذيذ
ماء بارد
خبز طازج
لحم طري
فواكه طازجة
خضروات صحية
قهوة عربية
شاي ساخن
حليب منعش
عصير برتقال
علم نافع
عمل صالح
قول حسن
فعل طيب
نية صادقة
قلب سليم
عقل راجح
فكر صحيح
